"NU_ANO_CENSO";"CO_UF";"CO_MUNICIPIO";"NO_ENTIDADE";"CO_ENTIDADE";"DS_ENDERECO";"NU_ENDERECO";"DS_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"NU_DDD";"NU_TELEFONE";"NU_TELEFONE_PUBLICO";"NU_FAX";"latitude";"longitude";"email";"url_website";"abr_nome"
2018;43;4314902;"EMEI JP CANTINHO AMIGO";43107672;"PCA GARIBALDI";"1";"S/N";"AZENHA";90050020;"51";"32271906";"-";"32271906";"-30.0441";"-51.2194";"emei.cantinhoamigo@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/cantinhoamigo/                                         ";"CANTINHO                      "
2018;43;4314902;"EMEI JP CIRANDINHA";43107680;"R VINTE QUATRO DE OUTUBRO";"211";"PQUE TENISTICO INTEN";"INDEPENDENCIA";90510002;"51";"33461600";"-";"32895988";"-30.0278";"-51.205";"emei.cirandinha@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/cirandinha/                                            ";"CIRANDINHA                    "
2018;43;4314902;"EMEI JP GIRAFINHA";43107699;"PCA JAYME TELLES";"1";"-";"SANTANA";90650100;"51";"32192589";"-";"32192589";"-30.0521";"-51.2053";"emei.girafinha@smed.prefpoa.com.br                ";"http://websmed.portoalegre.rs.gov.br/escolas/girafinha/                                             ";"GIRAFINHA                     "
2018;43;4314902;"EMEI JP MEU AMIGUINHO";43107702;"R SAO CARLOS";"636";"PCA BART DE GUSMAO";"FLORESTA";90220121;"51";"32276003";"-";"32276003";"-30.0206";"-51.2102";"emei.meuamiguinho@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/meuamiguinho/                                          ";"MEU AMIGUINHO                 "
2018;43;4314902;"EMEI JP PASSARINHO DOURADO";43107710;"AV GUIDO MONDIN";"1";"PRACA SAO GERALDO";"SAO GERALDO";90230260;"51";"33372537";"-";"33372537";"-30.011";"-51.1958";"emei.passarinhodourado@smed.prefpoa.com.br        ";"http://websmed.portoalegre.rs.gov.br/escolas/passarinhodourado/                                     ";"PASSARINHO DOURADO            "
2018;43;4314902;"EMEI JP PATINHO FEIO";43108369;"AV BRASIL";"593";"PCA PINHEIRO MACHADO";"SAO GERALDO";90230061;"51";"33742994";"98159212";"33372994";"-30.0051";"-51.2013";"emei.patinhofeio@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/patinhofeio/                                           ";"PATINHO FEIO                  "
2018;43;4314902;"EMEI JP PICA-PAU AMARELO";43107729;"PCA GEN OSORIO";"1";"S/N";"CENTRO HISTORIC";90010520;"51";"32275865";"-";"32275865";"-30.0346";"-51.2363";"emei.picapauamarelo@smed.prefpoa.com.br           ";"                                                                                                    ";"PICA-PAU                      "
2018;43;4314902;"EMEI BAIRRO CAVALHADA";43173705;"R CANELA";"180";"CAVALHADA";"CAVALHADA";91740190;"51";"32413604";"-";"-";"-30.0994";"-51.2293";"emei.bairrocavalhada@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/cavalhada/                                             ";"CAVALHADA                     "
2018;43;4314902;"EMEI ERICO VERISSIMO";43173691;"R MODESTO FRANCO";"100";"-";"PASSO DAS PEDRAS";91230100;"51";"33481408";"-";"33481408";"-30.0146";"-51.1276";"leticiasaldanha@hotmail.com                       ";"                                                                                                    ";"ÉRICO VERÍSSIMO               "
2018;43;4314902;"EMEI JARDIM BENTO GONCALVES";43173683;"R SARGENTO EXPED GERALDO SANTANA";"40";"PARTENON";"PARTENON";91530640;"51";"33156120";"-";"33156120";"-30.07";"-51.1562";"emei.bentogoncalves@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/bentogoncalves/                                        ";"BENTO GONÇALVES               "
